"id_corretor","nome","telefone","email"
1,"Marina Viana","(041) 1834 9319","nicolas16@example.net"
2,"Juan Freitas","(061) 0502 9735","zaraujo@example.com"
3,"Cauê Almeida","81 8259 9217","marianealmeida@example.net"
4,"João Guilherme Pinto","71 8150-7709","da-pazmatheus@example.com"
5,"Sr. Caio Barbosa","+55 (011) 5404 2024","bruno02@example.net"
6,"Elisa da Rocha","(031) 3399 7844","barbarabarbosa@example.com"
7,"Ana Beatriz Lima","(031) 2532 4318","ulima@example.com"
8,"Pedro Viana","11 9387 5052","jesusdavi-luiz@example.org"
9,"Dr. Augusto Gonçalves","+55 41 7382 5208","vcosta@example.com"
10,"Stephany da Conceição","+55 11 8476-3573","pereiravinicius@example.org"
11,"Juliana Pereira","51 0900 5125","goncalvesana-julia@example.org"
12,"Dr. Luiz Henrique Silva","0300 283 7412","cda-mata@example.net"
13,"Bárbara Barros","0300-870-3659","paulo40@example.com"
14,"Luiz Miguel Ramos","+55 81 8567-5011","vianamariana@example.net"
15,"Juan Ribeiro","(041) 8824 0352","da-matapedro@example.net"
16,"Srta. Maria Fernandes","(011) 0299 6959","salesnina@example.com"
17,"João Felipe da Rosa","+55 84 6911-5736","nuneseloah@example.com"
18,"Sra. Ana Vitória da Rocha","21 3111-7950","barrosmanuela@example.com"
19,"Dra. Alexia Cunha","(084) 6439-2308","da-costastephany@example.com"
20,"Sr. Diogo Caldeira","0300-472-1532","tlima@example.net"
